AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
07211,Trier,103986.0,13051.0,70790.0,20145.0,40.7,1193.0,7.2,41392.0,11.472698247841056
07231,Bernkastel-Wittlich,113327.0,15434.0,70560.0,27333.0,48.4,1449.0,3.9,38151.0,12.786008629894024
07232,Eifelkreis Bitburg-PrÃ¼m,100740.0,14736.0,64374.0,21630.0,45.7,1190.0,3.2,39556.0,11.812586857256305
07233,Vulkaneifel,59542.0,7747.0,36469.0,15326.0,50.0,892.0,4.5,37741.0,14.981021799738
07235,Trier-Saarburg,149056.0,21494.0,94561.0,33001.0,46.7,1707.0,3.3,34309.0,11.452071704594246
07311,Frankenthal (Pfalz),48107.0,7013.0,29724.0,11370.0,45.6,656.0,7.6,47182.0,13.636269150019748
07312,Kaiserslautern,100571.0,12648.0,66458.0,21465.0,42.3,1279.0,9.0,43661.0,12.71738373885116
07313,Landau in der Pfalz,48202.0,6287.0,32081.0,9834.0,42.1,554.0,6.0,41376.0,11.493299033235136
07314,Ludwigshafen am Rhein,175816.0,27494.0,114967.0,33355.0,41.8,1903.0,9.5,57576.0,10.823815807435047
07315,Mainz,223871.0,27956.0,155825.0,40090.0,38.7,2003.0,5.4,48741.0,8.947116866409672
07316,Neustadt an der WeinstraÃe,52709.0,7236.0,31987.0,13486.0,48.8,768.0,6.6,37888.0,14.57056669638961
07317,Pirmasens,39576.0,5223.0,24291.0,10062.0,48.1,696.0,12.0,39503.0,17.58641600970285
07318,Speyer,49874.0,6524.0,31376.0,11974.0,47.5,658.0,6.2,43327.0,13.193246982395637
07319,Worms,86403.0,12731.0,55906.0,17766.0,43.5,968.0,8.3,41485.0,11.203314699721075
07320,ZweibrÃ¼cken,33355.0,4472.0,20666.0,8217.0,47.0,482.0,6.8,43163.0,14.450607105381502
07331,Alzey-Worms,130794.0,19592.0,82204.0,28998.0,46.6,1489.0,4.3,37116.0,11.38431426518036
07332,Bad DÃ¼rkheim,134221.0,17864.0,82148.0,34209.0,50.5,1726.0,4.5,35378.0,12.859388620260615
07333,Donnersbergkreis,74728.0,10281.0,46594.0,17853.0,48.7,985.0,5.5,37486.0,13.181136923241624
07334,Germersheim,131678.0,19169.0,84379.0,28130.0,45.6,1432.0,4.7,47667.0,10.875013289995291
07335,Kaiserslautern,106082.0,15989.0,65213.0,24880.0,47.1,1341.0,5.3,36303.0,12.64116438227032
07336,Kusel,69846.0,9287.0,42627.0,17932.0,50.0,1036.0,4.8,34899.0,14.832631789937864
07337,SÃ¼dliche WeinstraÃe,113150.0,15389.0,69914.0,27847.0,49.5,1389.0,4.5,39313.0,12.275740167918691
07338,Rhein-Pfalz-Kreis,155525.0,23099.0,95323.0,37103.0,47.9,1889.0,4.2,37161.0,12.145957241601028
07339,Mainz-Bingen,206220.0,30125.0,129730.0,46365.0,47.4,2302.0,5.1,46883.0,11.162835806420327
07340,SÃ¼dwestpfalz,90168.0,11217.0,54417.0,24534.0,52.0,1373.0,4.5,33321.0,15.227131576612546
08111,Stuttgart,613111.0,81200.0,419947.0,111964.0,40.5,5475.0,5.7,60406.0,8.929867511755619
08115,BÃ¶blingen,394261.0,60687.0,252295.0,81279.0,43.9,3898.0,3.9,61002.0,9.886851603379487
08116,Esslingen,536027.0,76989.0,345578.0,113460.0,44.7,5715.0,4.0,52814.0,10.66177636574277
08117,GÃ¶ppingen,259232.0,38054.0,163192.0,57986.0,45.6,3107.0,4.9,45050.0,11.985403036662142
08118,Ludwigsburg,534808.0,80941.0,343356.0,110511.0,44.3,5456.0,3.9,52530.0,10.201792044995587
08119,Rems-Murr-Kreis,440103.0,63943.0,280396.0,95764.0,45.6,4726.0,4.2,45158.0,10.73839533018407
08121,Heilbronn,131653.0,19509.0,87162.0,24982.0,40.8,1418.0,6.4,47864.0,10.770738228524985
08125,Heilbronn,353609.0,54162.0,227253.0,72194.0,44.3,3603.0,3.8,54039.0,10.189220296994703
