station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES1856A,development_cv,ES,,41.426105,2.1480300000000003,fold1_iberia,10.10068260540268,293,342,10.100682593856655,17.925730994152048,36,False,True,1.1546024580866288e-08,computed
ES1857A,development_cv,ES,,38.993895,-3.93779,fold1_iberia,7.150181765869786,361,363,7.150181807229355,27.650512832803404,-32,True,False,4.135956910289451e-08,computed
ES1858A,development_cv,ES,,40.06192,-2.12957,fold1_iberia,11.143809301665202,366,359,11.143809308931317,25.109740766215715,-37,True,False,7.266114820936309e-09,computed
ES1867A,development_cv,ES,,43.48056,-8.24139,fold1_iberia,6.163654077282503,363,364,6.163653971226735,12.101320857419585,-34,True,False,1.060557686116681e-07,computed
ES1868A,development_cv,ES,,42.87583,-8.55917,fold1_iberia,5.861956067929899,364,363,5.8619559581205545,12.721526802679998,-35,True,False,1.098093447282622e-07,computed
ES1869A,development_cv,ES,,40.4303,-3.544115,fold1_iberia,9.824067074991593,366,366,9.824067071851424,20.52236374132593,-37,True,False,3.140169013704508e-09,computed
ES1877A,development_cv,ES,,39.94528,-0.05639,fold1_iberia,11.614986596216305,351,351,11.614986603410737,20.897858998031356,-22,True,False,7.194431717039151e-09,computed
ES1884A,development_cv,ES,,39.63417,-0.26583,fold1_iberia,7.275447751259461,360,360,7.275447663749294,15.08108429894795,-31,True,False,8.751016622454699e-08,computed
ES1885A,development_cv,ES,,39.48028,-0.33639,fold1_iberia,10.732161964666908,364,364,10.732161973761198,17.58472898304639,-35,True,False,9.094289765698704e-09,computed
ES1889A,development_cv,ES,,40.96083,-5.63972,fold1_iberia,4.484416979069874,366,365,4.484416981476853,13.315267439587236,-37,True,False,2.406979504598894e-09,computed
ES1890A,development_cv,ES,,40.34194,-3.83389,fold1_iberia,11.09460531376186,366,0,11.094605308939101,,-37,True,False,4.822759080980177e-09,computed
ES1891A,development_cv,ES,,41.599765000000005,2.2877150000000004,fold1_iberia,12.002623909780638,343,366,12.002623906705539,23.209871961456223,-14,True,False,3.0750992863204374e-09,computed
ES1901A,development_cv,ES,,42.88778,-8.53083,fold1_iberia,7.182155982267047,365,365,7.182155949934938,14.776015274392597,-36,True,False,3.233210943420772e-08,computed
